instructions,time(s)
0.0
1,48
2,94
3,145
4,194
5,243
6,291
7,339
8,387
9,435
10,483
11,528
12,573
13,618
14,703
15,788
16,871
17,940
18,1030
19,1120
20,1208
21,1329
22,1435
23,1594
24,1753
24,4401
